sentence,label
A collision between the ACROBOTER robotic platform and an unknown object must be avoided at all times.,constraint
A non‐patient is injured or killed by radiation.,loss
A nonpatient is injured or killed in the process of MRI simulation.,loss
A pair of controlled aircraft violates minimum separation standards.,hazard
A person or worker is standing/working under or passing through the excavators’ range cycle.,hazard
"A storage method for using chemicals, such as FIFO (First-In, First-Out), should be adopted.",constraint
A/C must maintain minimum safe altitude limits.,constraint
A/C must maintain minimum safe separation distance.,constraint
A/C not compliant with airworthiness requirements.,hazard
"Absence of warning when vehicle moves out of lane, resulting in a collision.",hazard
ACC did not illuminate brake light to warn vehicle in the behind.,hazard
"ACC did not maintain a safe distance from the object in the front, resultng in collision.",hazard
ACC does not maintain a safe distance from the object in the front (resulting in a collision).,hazard
ACC does not reduce throttle and apply the braking force to maintain safe distance as preset by driver when vehicle catches up with a slower preceding vehicle.,hazard
ACC estimates wrong values of distance and speed of vehicle ahead.,hazard
ACC must not brake too abruptly.,constraint
ACC must not violate separation requirements with object ahead.,constraint
ACC should not brake too abruptly.,constraint
ACC should not let the vehicle gets in contact with the object ahead.,constraint
ACC slows down the vehicle too abruptly (and vehicle is rear-ended).,hazard
"ACC slows down the vehicle too abruptly, and vehicle is rear-ended.",hazard
ACC violates the safe distance between ACC vehicle and vehicle in front.,hazard
ACS must not continue providing attitude maneuver commands too long after attitude has stabilized.,constraint
ACS must not provide attitude maneuver commands in the same direction as rotation.,constraint
ACS must not provide attitude maneuver commands too early to achieve desired attitude.,constraint
ACS must not provide attitude maneuver commands too late after ASTRO-H has rotated too far.,constraint
ACS must not provide attitude maneuver commands when ASTRO-H is not rotating.,constraint
ACS must not stop providing attitude commands too soon before attitude has stabilized.,constraint
ACS must provide attitude maneuver commands that are sufficient to slow ASTRO-H quickly.,constraint
ACS must provide attitude maneuver commands when ASTRO-H is rotating.,constraint
"Actuator (Throttle, Spark, Fuel, etc.) Control shall be synchronized with axle torque request.",constraint
