sentence,label,validity,faults,domain,year,title,source,slide
A collision between the ACROBOTER robotic platform and an unknown object must be avoided at all times.,constraint,valid,valid,robot,2015,Comparing Sensors’ Characteristics on a Robotic System: The EWaSAP Results Against Designers’ Non-Theoretical Approaches,https://prezi.com/w6ww9e0b2bnu/comparing-sensors-characteristics-on-a-robotic-system-the-ewasap-results-against-designers-non-theoretical-approaches/?utm_campaign=share&utm_medium=copy,27.0
A non‐patient is injured or killed by radiation.,loss,invalid,condition,medicine,2018,Application of STPA in Radiation Therapy: A Preliminary Study,https://psas.scripts.mit.edu/home/wp-content/uploads/2018/04/Application-of-STPA-in-Radiation-Therapy-SILVIS-MIT-STAMP-2018-long.pdf,24.0
A nonpatient is injured or killed in the process of MRI simulation.,loss,invalid,condition,medicine,2019,STAMP for Hospital Safety,http://psas.scripts.mit.edu/home/wp-content/uploads/2019/04/4-Wed-Aft__Wong_Singer__undefined__STAMP_HospitalSafety.pdf,8.0
A pair of controlled aircraft violates minimum separation standards.,hazard,valid,valid,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,77.0
A person or worker is standing/working under or passing through the excavators’ range cycle.,hazard,invalid,rewrite,other,2017,Towards a STAMP-Based Safety Plans Approach for Construction Projects,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/04/Ioannis-Dokas_Towards-A-STAMP-Based-Safety-Plans-Approach-For-Construction.pdf,12.0
"A storage method for using chemicals, such as FIFO (First-In, First-Out), should be adopted.",constraint,invalid,rewrite,laboratory,2023,STPA Applied for Energetic Materials Handling in Research Laboratories,https://psas.scripts.mit.edu/home/wp-content/uploads/2023/2023-06-08-1100__Karen-Stephanie-de-Andrade__PUB.pdf,13.0
A/C must maintain minimum safe altitude limits.,constraint,valid,valid,aviation,2018,STPA-Sec Case Study of a Next Generation Refueling Aircraft,https://psas.scripts.mit.edu/home/wp-content/uploads/2018/04/SPAN-STAMP_KC-X-STPA-SEC_FINAL_PA_Approved.pdf,8.0
A/C must maintain minimum safe separation distance.,constraint,valid,valid,aviation,2018,STPA-Sec Case Study of a Next Generation Refueling Aircraft,https://psas.scripts.mit.edu/home/wp-content/uploads/2018/04/SPAN-STAMP_KC-X-STPA-SEC_FINAL_PA_Approved.pdf,8.0
A/C not compliant with airworthiness requirements.,hazard,valid,valid,aviation,2016,26-A STAMP-based Hazard Log for Use during Development and Operations,https://psas.scripts.mit.edu/home/wp-content/uploads/2016/01/26-ScarinciGiusti-W2016.pdf,18.0
"Absence of warning when vehicle moves out of lane, resulting in a collision.",hazard,invalid,condition,automotive,2017,Application of STPA to a lane keeping assist system,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/04/Haneet-Singh_Application-Of-STPA-To-A-Lane-Keeping-Assist-System.pdf,11.0
